Altium Designer Pick and Place Locations
F:\SkyDrive\OtvoreniProjekti\HotelSaplast\hw\DE-020717\Project Outputs for DE-020717\Pick Place for DE-020717.csv

========================================================================================================================
File Design Information:

Date:       02.06.18
Time:       16:30
Revision:   0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P7","nRF24L01","BottomLayer","HDR2X4","2103.000","1456.000","270","Header, 4-Pin, Dual row"
"L4","74404024047","BottomLayer","WE-LQS_252012","330.000","1060.000","180","WE-LQS SMD Power Inductor, L=4.7 µH"
"P10","EXPAND","BottomLayer","HDR2X5","479.645","2085.355","45","Header, 5-Pin, Dual row"
"C1","100nF","TopLayer","0603","955.000","1005.000","180","Ceramic Chip Capacitor - Standard"
"C2","100nF","TopLayer","0603","1650.000","115.000","180","Ceramic Chip Capacitor - Standard"
"C3","100nF","TopLayer","0603","1650.000","216.429","180","Ceramic Chip Capacitor - Standard"
"C4","100nF","TopLayer","0603","1650.000","337.857","180","Ceramic Chip Capacitor - Standard"
"C5","100nF","TopLayer","0603","1640.000","430.000","180","Ceramic Chip Capacitor - Standard"
"C6","100nF","TopLayer","0603","1660.000","592.000","180","Ceramic Chip Capacitor - Standard"
"C7","100nF","TopLayer","0603","1865.000","1170.000","90","Ceramic Chip Capacitor - Standard"
"C8","100nF","TopLayer","0603","1970.000","1135.000","360","Ceramic Chip Capacitor - Standard"
"C9","C0805","TopLayer","0805","1715.000","1160.000","90","Ceramic Chip Capacitor - Standard"
"C10","C0805","TopLayer","0805","1795.000","1160.000","90","Ceramic Chip Capacitor - Standard"
"C11","C0603","BottomLayer","0603","1720.000","2420.000","225","Ceramic Chip Capacitor - Standard"
"C12","100nF","TopLayer","0603","1152.000","1499.000","270","Ceramic Chip Capacitor - Standard"
"C13","100nF","TopLayer","0603","1675.000","700.000","180","Ceramic Chip Capacitor - Standard"
"C14","100nF","TopLayer","0603","1675.000","825.000","180","Ceramic Chip Capacitor - Standard"
"C15","100nF","TopLayer","0603","1650.000","897.426","180","Ceramic Chip Capacitor - Standard"
"C16","100nF","TopLayer","0603","985.000","900.000","270","Ceramic Chip Capacitor - Standard"
"C17","100nF","TopLayer","0603","950.000","720.000","360","Ceramic Chip Capacitor - Standard"
"C18","C0603","BottomLayer","0603","2150.000","1975.000","225","Ceramic Chip Capacitor - Standard"
"C19","100nF","TopLayer","0603","950.000","595.000","360","Ceramic Chip Capacitor - Standard"
"C20","100nF","TopLayer","0603","950.000","470.000","360","Ceramic Chip Capacitor - Standard"
"C21","100nF","TopLayer","0603","950.000","345.000","360","Ceramic Chip Capacitor - Standard"
"C22","100nF","TopLayer","0603","950.000","220.000","360","Ceramic Chip Capacitor - Standard"
"C23","100nF","TopLayer","0603","952.000","122.000","360","Ceramic Chip Capacitor - Standard"
"C24","100nF","TopLayer","0603","910.000","1960.000","45","Ceramic Chip Capacitor - Standard"
"C25","100nF","TopLayer","0603","1050.000","2105.000","45","Ceramic Chip Capacitor - Standard"
"C26","100nF","TopLayer","0603","1240.000","2300.000","45","Ceramic Chip Capacitor - Standard"
"C27","100nF","TopLayer","0603","1808.663","1643.663","225","Ceramic Chip Capacitor - Standard"
"C28","100nF","TopLayer","0603","1770.000","1785.000","135","Ceramic Chip Capacitor - Standard"
"C29","C0603","TopLayer","0603","1519.000","2526.000","180","Ceramic Chip Capacitor - Standard"
"C30","100nF","BottomLayer","0603","2125.000","1792.598","270","Ceramic Chip Capacitor - Standard"
"C31","100nF","BottomLayer","0603","2190.000","1792.599","270","Ceramic Chip Capacitor - Standard"
"C32","100nF","BottomLayer","0603","2255.000","1792.598","270","Ceramic Chip Capacitor - Standard"
"C33","100nF","BottomLayer","0603","2390.000","1792.598","270","Ceramic Chip Capacitor - Standard"
"C34","100nF","BottomLayer","0603","2325.000","1792.598","270","Ceramic Chip Capacitor - Standard"
"C35","C0805","BottomLayer","0805","2055.000","1790.000","270","Ceramic Chip Capacitor - Standard"
"C36","100nF","BottomLayer","0603","671.000","1623.000","360","Ceramic Chip Capacitor - Standard"
"C37","100nF","TopLayer","0603","1404.000","1138.000","90","Ceramic Chip Capacitor - Standard"
"C38","100nF","BottomLayer","0603","616.000","1763.000","45","Ceramic Chip Capacitor - Standard"
"C39","100nF","TopLayer","0603","1188.000","1322.000","225","Ceramic Chip Capacitor - Standard"
"C40","100nF","TopLayer","0603","1230.000","1280.000","225","Ceramic Chip Capacitor - Standard"
"C41","100nF","TopLayer","0603","1390.000","1320.000","45","Ceramic Chip Capacitor - Standard"
"C42","100nF","TopLayer","0603","1650.000","1473.000","225","Ceramic Chip Capacitor - Standard"
"C43","C0603","TopLayer","0603","1720.000","2420.000","225","Ceramic Chip Capacitor - Standard"
"C44","100nF","TopLayer","0603","825.000","1105.000","360","Ceramic Chip Capacitor - Standard"
"C45","100nF","TopLayer","0603","1925.000","2130.000","225","Ceramic Chip Capacitor - Standard"
"C46","100nF","TopLayer","0603","2025.248","2077.774","315","Ceramic Chip Capacitor - Standard"
"C47","C0603","TopLayer","0603","569.000","1126.000","270","Ceramic Chip Capacitor - Standard"
"C48","100nF","TopLayer","0603","1834.329","2268.693","315","Ceramic Chip Capacitor - Standard"
"C49","100nF","TopLayer","0603","700.000","280.000","180","Ceramic Chip Capacitor - Standard"
"C50","100nF","TopLayer","0603","1751.000","2346.000","225","Ceramic Chip Capacitor - Standard"
"C51","100nF","TopLayer","0603","720.000","396.536","90","Ceramic Chip Capacitor - Standard"
"C52","C0603","TopLayer","0603","569.000","981.000","270","Ceramic Chip Capacitor - Standard"
"C53","100nF","BottomLayer","0603","358.000","775.000","270","Ceramic Chip Capacitor - Standard"
"C54","4u7","BottomLayer","0805","290.000","780.000","90","Ceramic Chip Capacitor - Standard"
"C55","100nF","BottomLayer","0603","512.000","930.000","270","Ceramic Chip Capacitor - Standard"
"C56","100nF","BottomLayer","0603","570.000","930.000","270","Ceramic Chip Capacitor - Standard"
"C57","4u7","BottomLayer","0805","650.000","920.000","270","Ceramic Chip Capacitor - Standard"
"C66","100nF","TopLayer","0603","2260.000","869.370","270","Ceramic Chip Capacitor - Standard"
"C67","1uF","TopLayer","0603","2333.000","870.000","270","Ceramic Chip Capacitor - Standard"
"C68","100nF","TopLayer","0603","2410.000","869.370","270","Ceramic Chip Capacitor - Standard"
"C70","4u7","TopLayer","0805","2050.000","630.000","180","Ceramic Chip Capacitor - Standard"
"C71","100nF","TopLayer","0603","2050.000","700.000","180","Ceramic Chip Capacitor - Standard"
"C72","100nF","TopLayer","0603","1975.000","560.000","180","Ceramic Chip Capacitor - Standard"
"C73","4u7","TopLayer","0805","2055.000","1775.000","180","Ceramic Chip Capacitor - Standard"
"C74","100nF","TopLayer","0603","2062.874","1706.000","180","Ceramic Chip Capacitor - Standard"
"C75","100nF","TopLayer","0603","2062.874","1845.433","180","Ceramic Chip Capacitor - Standard"
